i:0 Wynik dokladny: 0.0         Wynik przyblizony: 138.0833104502917       Roznica^2: 19067.000624911634   Roznica: 138.0833104502917
i:1 Wynik dokladny: 0.0         Wynik przyblizony: 125.73094046046322       Roznica^2: 15808.269389072546   Roznica: 125.73094046046322
i:2 Wynik dokladny: 0.0         Wynik przyblizony: 134.422779683268       Roznica^2: 18069.48369777641   Roznica: 134.422779683268
i:3 Wynik dokladny: 0.0         Wynik przyblizony: 144.61642720034163       Roznica^2: 20913.911016191712   Roznica: 144.61642720034163
i:4 Wynik dokladny: 0.0         Wynik przyblizony: 155.4576009436804       Roznica^2: 24167.065691164582   Roznica: 155.4576009436804
i:5 Wynik dokladny: 0.0         Wynik przyblizony: 166.03775269149776       Roznica^2: 27568.535318842973   Roznica: 166.03775269149776
i:6 Wynik dokladny: 0.0         Wynik przyblizony: 175.47020925837626       Roznica^2: 30789.79433717835   Roznica: 175.47020925837626
i:7 Wynik dokladny: 22.55         Wynik przyblizony: 182.96448044060102       Roznica^2: 25732.805535027965   Roznica: 160.414480440601
i:8 Wynik dokladny: 127.94         Wynik przyblizony: 187.89250631427757       Roznica^2: 3594.303013363492   Roznica: 59.95250631427757
i:9 Wynik dokladny: 144.09         Wynik przyblizony: 189.84129200906918       Roznica^2: 2093.180720499117   Roznica: 45.751292009069175
i:10 Wynik dokladny: 94.25         Wynik przyblizony: 188.64751888258934       Roznica^2: 8910.891571188811   Roznica: 94.39751888258934
i:11 Wynik dokladny: 49.36         Wynik przyblizony: 184.41123149430672       Roznica^2: 18238.83512812882   Roznica: 135.0512314943067
i:12 Wynik dokladny: 31.44         Wynik przyblizony: 177.48745333750475       Roznica^2: 21329.858626370627   Roznica: 146.04745333750475
i:13 Wynik dokladny: 21.04         Wynik przyblizony: 168.45643397567858       Roznica^2: 21731.605006105605   Roznica: 147.4164339756786
i:14 Wynik dokladny: 0.0         Wynik przyblizony: 158.07502103216967       Roznica^2: 24987.712274320886   Roznica: 158.07502103216967
i:15 Wynik dokladny: 0.0         Wynik przyblizony: 147.21323231990596       Roznica^2: 21671.735770074603   Roznica: 147.21323231990596
i:16 Wynik dokladny: 0.0         Wynik przyblizony: 136.7813437050611       Roznica^2: 18709.135985762055   Roznica: 136.7813437050611
i:17 Wynik dokladny: 0.0         Wynik przyblizony: 127.65360313122264       Roznica^2: 16295.442392383695   Roznica: 127.65360313122264
i:18 Wynik dokladny: 0.0         Wynik przyblizony: 120.59496397552417       Roznica^2: 14543.145336257972   Roznica: 120.59496397552417
i:19 Wynik dokladny: 0.0         Wynik przyblizony: 116.19697787295324       Roznica^2: 13501.737666807585   Roznica: 116.19697787295324
i:20 Wynik dokladny: 0.0         Wynik przyblizony: 114.82821953208446       Roznica^2: 13185.520000908584   Roznica: 114.82821953208446
i:21 Wynik dokladny: 0.0         Wynik przyblizony: 116.60339820728863       Roznica^2: 13596.352473487523   Roznica: 116.60339820728863
i:22 Wynik dokladny: 0.0         Wynik przyblizony: 121.373744451       Roznica^2: 14731.585842056651   Roznica: 121.373744451
i:23 Wynik dokladny: 0.0         Wynik przyblizony: 128.73947778746327       Roznica^2: 16573.85314098875   Roznica: 128.73947778746327
i:24 Wynik dokladny: 0.0         Wynik przyblizony: 137.0410609529855       Roznica^2: 18780.252387119886   Roznica: 137.0410609529855
i:25 Wynik dokladny: 0.0         Wynik przyblizony: 123.78584725821617       Roznica^2: 15322.935981434423   Roznica: 123.78584725821617
i:26 Wynik dokladny: 0.0         Wynik przyblizony: 133.11297933033887       Roznica^2: 17719.065266199224   Roznica: 133.11297933033887
i:27 Wynik dokladny: 0.0         Wynik przyblizony: 144.05168795704202       Roznica^2: 20750.888803273006   Roznica: 144.05168795704202
i:28 Wynik dokladny: 0.0         Wynik przyblizony: 155.6852509727555       Roznica^2: 24237.89737044987   Roznica: 155.6852509727555
i:29 Wynik dokladny: 0.0         Wynik przyblizony: 167.0387137054852       Roznica^2: 27901.931876383052   Roznica: 167.0387137054852
i:30 Wynik dokladny: 0.0         Wynik przyblizony: 177.16059538192138       Roznica^2: 31385.876556076862   Roznica: 177.16059538192138
